name,lat,lon,plt_id,max_age,pygp_pts,pygp_feature
830122fffffffff,70.89152472067305,27.222554099177188,302,550.0,"(0.291098, 0.149749, 0.9449)",<pygplates.pygplates.Feature object at 0x7f0ef561c580>
830123fffffffff,71.57422532468993,24.85583264865635,350,550.0,"(0.286797, 0.132858, 0.948734)",<pygplates.pygplates.Feature object at 0x7f0ef561c5f0>
830124fffffffff,69.8076571026895,23.90417193299976,302,550.0,"(0.315565, 0.139867, 0.938539)",<pygplates.pygplates.Feature object at 0x7f0ef561c660>
830125fffffffff,70.43589029063983,21.586442753749814,302,550.0,"(0.311375, 0.123197, 0.942267)",<pygplates.pygplates.Feature object at 0x7f0ef561c6d0>
830126fffffffff,70.01618301908893,26.619398995054944,302,550.0,"(0.30553, 0.153127, 0.939789)",<pygplates.pygplates.Feature object at 0x7f0ef561c740>
830128fffffffff,72.84946542962842,19.561606841342225,311,400.0,"(0.277863, 0.0987329, 0.955533)",<pygplates.pygplates.Feature object at 0x7f0ef561c7b0>
830129fffffffff,73.4327326639202,16.614331430119602,309,55.0,"(0.273237, 0.0815298, 0.958486)",<pygplates.pygplates.Feature object at 0x7f0ef561c820>
83012afffffffff,73.14622518055438,22.73181686720234,350,550.0,"(0.267409, 0.112034, 0.957048)",<pygplates.pygplates.Feature object at 0x7f0ef561c890>
83012bfffffffff,73.77884034797988,19.828672809901054,311,400.0,"(0.262784, 0.0947565, 0.960191)",<pygplates.pygplates.Feature object at 0x7f0ef561c900>
83012cfffffffff,71.93488666858077,19.324935229189943,350,550.0,"(0.292626, 0.102619, 0.950705)",<pygplates.pygplates.Feature object at 0x7f0ef561c970>
83012dfffffffff,72.50976860629207,16.543313378935544,309,55.0,"(0.288102, 0.0855767, 0.953768)",<pygplates.pygplates.Feature object at 0x7f0ef561c9e0>
83012efffffffff,72.22836004231738,22.305789299154505,350,550.0,"(0.282384, 0.115848, 0.952281)",<pygplates.pygplates.Feature object at 0x7f0ef561ca50>
830130fffffffff,70.30946160907892,32.28928982024992,350,550.0,"(0.284836, 0.179991, 0.941526)",<pygplates.pygplates.Feature object at 0x7f0ef561cac0>
